#,Name,Type,Total,HitPoints,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Generation,Legendary
47,Parasect,Fire,405,60,95,80,60,80,30,1,FALSE
48,Venonat,Fire,305,60,55,50,40,55,45,1,FALSE
49,Venomoth,Fire,450,70,65,60,90,75,90,1,FALSE
50,Diglett,Grass,265,10,55,25,35,45,95,1,FALSE
51,Dugtrio,Grass,405,35,80,50,50,70,120,1,FALSE
52,Meowth,Grass,290,40,45,35,40,40,90,1,FALSE
53,Persian,Grass,440,65,70,60,65,65,115,1,FALSE
54,Psyduck,Water,320,50,52,48,65,50,55,1,FALSE
55,Golduck,Water,500,80,82,78,95,80,85,1,FALSE
56,Mankey,Fire,305,40,80,35,35,45,70,1,FALSE
57,Primeape,Fire,455,65,105,60,60,70,95,1,FALSE
58,Growlithe,Fire,350,55,70,45,70,50,60,1,FALSE
59,Arcanine,Fire,555,90,110,80,100,80,95,1,FALSE
60,Poliwag,Water,300,40,50,40,40,40,90,1,FALSE
61,Poliwhirl,Water,385,65,65,65,50,50,90,1,FALSE
62,Poliwrath,Water,510,90,95,95,70,90,70,1,FALSE
63,Abra,Electric,310,25,20,15,105,55,90,1,FALSE
64,Kadabra,Electric,400,40,35,30,120,70,105,1,FALSE
65,Alakazam,Electric,500,55,50,45,135,95,120,1,FALSE
66,Machop,Fire,305,70,80,50,35,35,35,1,FALSE
67,Machoke,Fire,405,80,100,70,50,60,45,1,FALSE
68,Machamp,Fire,505,90,130,80,65,85,55,1,FALSE
69,Bellsprout,Grass,300,50,75,35,70,30,40,1,FALSE
70,Weepinbell,Grass,390,65,90,50,85,45,55,1,FALSE
71,Victreebel,Grass,490,80,105,65,100,70,70,1,FALSE
72,Tentacool,Water,335,40,40,35,50,100,70,1,FALSE
73,Tentacruel,Water,515,80,70,65,80,120,100,1,FALSE
74,Geodude,Water,300,40,80,100,30,30,20,1,FALSE
75,Graveler,Water,390,55,95,115,45,45,35,1,FALSE
76,Golem,Water,495,80,120,130,55,65,45,1,FALSE
77,Ponyta,Fire,410,50,85,55,65,65,90,1,FALSE
78,Rapidash,Fire,500,65,100,70,80,80,105,1,FALSE
79,Slowpoke,Water,315,90,65,65,40,40,15,1,FALSE
80,Slowbro,Water,490,95,75,110,100,80,30,1,FALSE
81,Magnemite,Electric,325,25,35,70,95,55,45,1,FALSE
82,Magneton,Electric,465,50,60,95,120,70,70,1,FALSE
83,Farfetchd,Grass,352,52,65,55,58,62,60,1,FALSE
84,Doduo,Grass,310,35,85,45,35,35,75,1,FALSE
85,Dodrio,Grass,460,60,110,70,60,60,100,1,FALSE
86,Seel,Water,325,65,45,55,45,70,45,1,FALSE
87,Dewgong,Water,475,90,70,80,70,95,70,1,FALSE
88,Grimer,Electric,325,80,80,50,40,50,25,1,FALSE
89,Muk,Electric,500,105,105,75,65,100,50,1,FALSE
90,Shellder,Water,305,30,65,100,45,25,40,1,FALSE
91,Cloyster,Water,525,50,95,180,85,45,70,1,FALSE
92,Gastly,Water,310,30,35,30,100,35,80,1,FALSE
93,Haunter,Water,405,45,50,45,115,55,95,1,FALSE
94,Gengar,Water,500,60,65,60,130,75,110,1,FALSE
95,Onix,Water,385,35,45,160,30,45,70,1,FALSE
96,Drowzee,Electric,328,60,48,45,43,90,42,1,FALSE
97,Hypno,Electric,483,85,73,70,73,115,67,1,FALSE
98,Krabby,Water,325,30,105,90,25,25,50,1,FALSE
99,Kingler,Water,475,55,130,115,50,50,75,1,FALSE
100,Voltorb,Electric,330,40,30,50,55,55,100,1,FALSE
101,Electrode,Electric,480,60,50,70,80,80,140,1,FALSE
102,Exeggcute,Grass,325,60,40,80,60,45,40,1,FALSE
103,Exeggutor,Grass,520,95,95,85,125,65,55,1,FALSE
104,Cubone,Grass,320,50,50,95,40,50,35,1,FALSE
105,Marowak,Grass,425,60,80,110,50,80,45,1,FALSE
106,Hitmonlee,Fire,455,50,120,53,35,110,87,1,FALSE
107,Hitmonchan,Fire,455,50,105,79,35,110,76,1,FALSE
108,Lickitung,Grass,385,90,55,75,60,75,30,1,FALSE
109,Koffing,Electric,340,40,65,95,60,45,35,1,FALSE
110,Weezing,Electric,490,65,90,120,85,70,60,1,FALSE
111,Rhyhorn,Grass,345,80,85,95,30,30,25,1,FALSE
112,Rhydon,Grass,485,105,130,120,45,45,40,1,FALSE
113,Chansey,Grass,450,250,5,5,35,105,50,1,FALSE
114,Tangela,Grass,435,65,55,115,100,40,60,1,FALSE
115,Kangaskhan,Grass,490,105,95,80,40,80,90,1,FALSE
116,Horsea,Water,295,30,40,70,70,25,60,1,FALSE
117,Seadra,Water,440,55,65,95,95,45,85,1,FALSE
118,Goldeen,Water,320,45,67,60,35,50,63,1,FALSE
119,Seaking,Water,450,80,92,65,65,80,68,1,FALSE
120,Staryu,Water,340,30,45,55,70,55,85,1,FALSE
121,Starmie,Water,520,60,75,85,100,85,115,1,FALSE
123,Scyther,Fire,500,70,110,80,55,80,105,1,FALSE
124,Jynx,Water,455,65,50,35,115,95,95,1,FALSE
125,Electabuzz,Electric,490,65,83,57,95,85,105,1,FALSE
126,Magmar,Fire,495,65,95,57,100,85,93,1,FALSE
127,Pinsir,Fire,500,65,125,100,55,70,85,1,FALSE
128,Tauros,Grass,490,75,100,95,40,70,110,1,FALSE
129,Magikarp,Water,200,20,10,55,15,20,80,1,FALSE
130,Gyarados,Water,540,95,125,79,60,100,81,1,FALSE
131,Lapras,Water,535,130,85,80,85,95,60,1,FALSE
132,Ditto,Grass,288,48,48,48,48,48,48,1,FALSE
133,Eevee,Grass,325,55,55,50,45,65,55,1,FALSE
134,Vaporeon,Water,525,130,65,60,110,95,65,1,FALSE
135,Jolteon,Electric,525,65,65,60,110,95,130,1,FALSE
136,Flareon,Fire,525,65,130,60,95,110,65,1,FALSE
137,Porygon,Grass,395,65,60,70,85,75,40,1,FALSE
138,Omanyte,Water,355,35,40,100,90,55,35,1,FALSE
139,Omastar,Water,495,70,60,125,115,70,55,1,FALSE
140,Kabuto,Water,355,30,80,90,55,45,55,1,FALSE
141,Kabutops,Water,495,60,115,105,65,70,80,1,FALSE
142,Aerodactyl,Water,515,80,105,65,60,75,130,1,FALSE
143,Snorlax,Grass,540,160,110,65,65,110,30,1,FALSE
144,Articuno,Water,580,90,85,100,95,125,85,1,TRUE
145,Zapdos,Electric,580,90,90,85,125,90,100,1,TRUE
146,Moltres,Fire,580,90,100,90,125,85,90,1,TRUE
147,Dratini,Fire,300,41,64,45,50,50,50,1,FALSE
148,Dragonair,Fire,420,61,84,65,70,70,70,1,FALSE
149,Dragonite,Fire,600,91,134,95,100,100,80,1,FALSE
150,Mewtwo,Electric,680,106,110,90,154,90,130,1,TRUE
151,Mew,Electric,600,100,100,100,100,100,100,1,FALSE
152,Chikorita,Grass,318,45,49,65,49,65,45,2,FALSE
153,Bayleef,Grass,405,60,62,80,63,80,60,2,FALSE
154,Meganium,Grass,525,80,82,100,83,100,80,2,FALSE
155,Cyndaquil,Fire,309,39,52,43,60,50,65,2,FALSE
156,Quilava,Fire,405,58,64,58,80,65,80,2,FALSE
157,Typhlosion,Fire,534,78,84,78,109,85,100,2,FALSE
158,Totodile,Water,314,50,65,64,44,48,43,2,FALSE
159,Croconaw,Water,405,65,80,80,59,63,58,2,FALSE
160,Feraligatr,Water,530,85,105,100,79,83,78,2,FALSE
161,Sentret,Grass,215,35,46,34,35,45,20,2,FALSE
162,Furret,Grass,415,85,76,64,45,55,90,2,FALSE
163,Hoothoot,Grass,262,60,30,30,36,56,50,2,FALSE
164,Noctowl,Grass,442,100,50,50,76,96,70,2,FALSE
165,Ledyba,Fire,265,40,20,30,40,80,55,2,FALSE
166,Ledian,Fire,390,55,35,50,55,110,85,2,FALSE
167,Spinarak,Fire,250,40,60,40,40,40,30,2,FALSE
168,Ariados,Fire,390,70,90,70,60,60,40,2,FALSE
169,Crobat,Electric,535,85,90,80,70,80,130,2,FALSE
170,Chinchou,Water,330,75,38,38,56,56,67,2,FALSE
171,Lanturn,Water,460,125,58,58,76,76,67,2,FALSE
172,Pichu,Electric,205,20,40,15,35,35,60,2,FALSE
173,Cleffa,Fire,218,50,25,28,45,55,15,2,FALSE
174,Igglybuff,Grass,210,90,30,15,40,20,15,2,FALSE
175,Togepi,Fire,245,35,20,65,40,65,20,2,FALSE
176,Togetic,Fire,405,55,40,85,80,105,40,2,FALSE
177,Natu,Electric,320,40,50,45,70,45,70,2,FALSE
178,Xatu,Electric,470,65,75,70,95,70,95,2,FALSE
179,Mareep,Electric,280,55,40,40,65,45,35,2,FALSE
180,Flaaffy,Electric,365,70,55,55,80,60,45,2,FALSE
181,Ampharos,Electric,510,90,75,85,115,90,55,2,FALSE
182,Bellossom,Grass,490,75,80,95,90,100,50,2,FALSE
183,Marill,Water,250,70,20,50,20,50,40,2,FALSE
184,Azumarill,Water,420,100,50,80,60,80,50,2,FALSE
185,Sudowoodo,Water,410,70,100,115,30,65,30,2,FALSE
186,Politoed,Water,500,90,75,75,90,100,70,2,FALSE
187,Hoppip,Grass,250,35,35,40,35,55,50,2,FALSE
188,Skiploom,Grass,340,55,45,50,45,65,80,2,FALSE
189,Jumpluff,Grass,460,75,55,70,55,95,110,2,FALSE
190,Aipom,Grass,360,55,70,55,40,55,85,2,FALSE
191,Sunkern,Grass,180,30,30,30,30,30,30,2,FALSE
192,Sunflora,Grass,425,75,75,55,105,85,30,2,FALSE
193,Yanma,Fire,390,65,65,45,75,45,95,2,FALSE
194,Wooper,Water,210,55,45,45,25,25,15,2,FALSE
195,Quagsire,Water,430,95,85,85,65,65,35,2,FALSE
196,Espeon,Electric,525,65,65,60,130,95,110,2,FALSE
197,Umbreon,Water,525,95,65,110,60,130,65,2,FALSE
198,Murkrow,Water,405,60,85,42,85,42,91,2,FALSE
199,Slowking,Water,490,95,75,80,100,110,30,2,FALSE
200,Misdreavus,Water,435,60,60,60,85,85,85,2,FALSE
201,Unown,Electric,336,48,72,48,72,48,48,2,FALSE
202,Wobbuffet,Electric,405,190,33,58,33,58,33,2,FALSE
203,Girafarig,Grass,455,70,80,65,90,65,85,2,FALSE
204,Pineco,Fire,290,50,65,90,35,35,15,2,FALSE
205,Forretress,Fire,465,75,90,140,60,60,40,2,FALSE
206,Dunsparce,Grass,415,100,70,70,65,65,45,2,FALSE
207,Gligar,Grass,430,65,75,105,35,65,85,2,FALSE
208,Steelix,Electric,510,75,85,200,55,65,30,2,FALSE
209,Snubbull,Fire,300,60,80,50,40,40,30,2,FALSE
210,Granbull,Fire,450,90,120,75,60,60,45,2,FALSE
211,Qwilfish,Water,430,65,95,75,55,55,85,2,FALSE
212,Scizor,Fire,500,70,130,100,55,80,65,2,FALSE
213,Shuckle,Fire,505,20,10,230,10,230,5,2,FALSE
214,Heracross,Fire,500,80,125,75,40,95,85,2,FALSE
215,Sneasel,Water,430,55,95,55,35,75,115,2,FALSE
216,Teddiursa,Grass,330,60,80,50,50,50,40,2,FALSE
217,Ursaring,Grass,500,90,130,75,75,75,55,2,FALSE
218,Slugma,Fire,250,40,40,40,70,40,20,2,FALSE
219,Magcargo,Fire,410,50,50,120,80,80,30,2,FALSE
220,Swinub,Water,250,50,50,40,30,30,50,2,FALSE
221,Piloswine,Water,450,100,100,80,60,60,50,2,FALSE
222,Corsola,Water,380,55,55,85,65,85,35,2,FALSE
223,Remoraid,Water,300,35,65,35,65,35,65,2,FALSE
224,Octillery,Water,480,75,105,75,105,75,45,2,FALSE
225,Delibird,Water,330,45,55,45,65,45,75,2,FALSE
226,Mantine,Water,465,65,40,70,80,140,70,2,FALSE
227,Skarmory,Electric,465,65,80,140,40,70,70,2,FALSE
228,Houndour,Water,330,45,60,30,80,50,65,2,FALSE
229,Houndoom,Water,500,75,90,50,110,80,95,2,FALSE
230,Kingdra,Water,540,75,95,95,95,95,85,2,FALSE
231,Phanpy,Grass,330,90,60,60,40,40,40,2,FALSE
232,Donphan,Grass,500,90,120,120,60,60,50,2,FALSE
233,Porygon2,Grass,515,85,80,90,105,95,60,2,FALSE
234,Stantler,Grass,465,73,95,62,85,65,85,2,FALSE
235,Smeargle,Grass,250,55,20,35,20,45,75,2,FALSE
236,Tyrogue,Fire,210,35,35,35,35,35,35,2,FALSE
237,Hitmontop,Fire,455,50,95,95,35,110,70,2,FALSE
238,Smoochum,Water,305,45,30,15,85,65,65,2,FALSE
239,Elekid,Electric,360,45,63,37,65,55,95,2,FALSE
240,Magby,Fire,365,45,75,37,70,55,83,2,FALSE
241,Miltank,Grass,490,95,80,105,40,70,100,2,FALSE
242,Blissey,Grass,540,255,10,10,75,135,55,2,FALSE
243,Raikou,Electric,580,90,85,75,115,100,115,2,TRUE
244,Entei,Fire,580,115,115,85,90,75,100,2,TRUE
245,Suicune,Water,580,100,75,115,90,115,85,2,TRUE
246,Larvitar,Water,300,50,64,50,45,50,41,2,FALSE
247,Pupitar,Water,410,70,84,70,65,70,51,2,FALSE
248,Tyranitar,Water,600,100,134,110,95,100,61,2,FALSE
249,Lugia,Electric,680,106,90,130,90,154,110,2,TRUE
250,Ho-oh,Fire,680,106,130,90,110,154,90,2,TRUE
251,Celebi,Electric,600,100,100,100,100,100,100,2,FALSE
252,Treecko,Grass,310,40,45,35,65,55,70,3,FALSE
253,Grovyle,Grass,405,50,65,45,85,65,95,3,FALSE
254,Sceptile,Grass,530,70,85,65,105,85,120,3,FALSE
255,Torchic,Fire,310,45,60,40,70,50,45,3,FALSE
256,Combusken,Fire,405,60,85,60,85,60,55,3,FALSE
257,Blaziken,Fire,530,80,120,70,110,70,80,3,FALSE
258,Mudkip,Water,310,50,70,50,50,50,40,3,FALSE
259,Marshtomp,Water,405,70,85,70,60,70,50,3,FALSE
260,Swampert,Water,535,100,110,90,85,90,60,3,FALSE
261,Poochyena,Water,220,35,55,35,30,30,35,3,FALSE
262,Mightyena,Water,420,70,90,70,60,60,70,3,FALSE
263,Zigzagoon,Grass,240,38,30,41,30,41,60,3,FALSE
264,Linoone,Grass,420,78,70,61,50,61,100,3,FALSE
265,Wurmple,Fire,195,45,45,35,20,30,20,3,FALSE
266,Silcoon,Fire,205,50,35,55,25,25,15,3,FALSE
267,Beautifly,Fire,395,60,70,50,100,50,65,3,FALSE
268,Cascoon,Fire,205,50,35,55,25,25,15,3,FALSE
269,Dustox,Fire,385,60,50,70,50,90,65,3,FALSE
270,Lotad,Water,220,40,30,30,40,50,30,3,FALSE
271,Lombre,Water,340,60,50,50,60,70,50,3,FALSE
272,Ludicolo,Water,480,80,70,70,90,100,70,3,FALSE
273,Seedot,Grass,220,40,40,50,30,30,30,3,FALSE
274,Nuzleaf,Grass,340,70,70,40,60,40,60,3,FALSE
275,Shiftry,Grass,480,90,100,60,90,60,80,3,FALSE
276,Taillow,Grass,270,40,55,30,30,30,85,3,FALSE
277,Swellow,Grass,430,60,85,60,50,50,125,3,FALSE
278,Wingull,Water,270,40,30,30,55,30,85,3,FALSE
279,Pelipper,Water,430,60,50,100,85,70,65,3,FALSE
280,Ralts,Electric,198,28,25,25,45,35,40,3,FALSE
281,Kirlia,Electric,278,38,35,35,65,55,50,3,FALSE
282,Gardevoir,Electric,518,68,65,65,125,115,80,3,FALSE
283,Surskit,Fire,269,40,30,32,50,52,65,3,FALSE
284,Masquerain,Fire,414,70,60,62,80,82,60,3,FALSE
285,Shroomish,Grass,295,60,40,60,40,60,35,3,FALSE
286,Breloom,Grass,460,60,130,80,60,60,70,3,FALSE
287,Slakoth,Grass,280,60,60,60,35,35,30,3,FALSE
288,Vigoroth,Grass,440,80,80,80,55,55,90,3,FALSE
289,Slaking,Grass,670,150,160,100,95,65,100,3,FALSE
290,Nincada,Fire,266,31,45,90,30,30,40,3,FALSE
291,Ninjask,Fire,456,61,90,45,50,50,160,3,FALSE
292,Shedinja,Fire,236,1,90,45,30,30,40,3,FALSE
293,Whismur,Grass,240,64,51,23,51,23,28,3,FALSE
294,Loudred,Grass,360,84,71,43,71,43,48,3,FALSE
295,Exploud,Grass,490,104,91,63,91,73,68,3,FALSE
296,Makuhita,Fire,237,72,60,30,20,30,25,3,FALSE
297,Hariyama,Fire,474,144,120,60,40,60,50,3,FALSE
298,Azurill,Grass,190,50,20,40,20,40,20,3,FALSE
299,Nosepass,Water,375,30,45,135,45,90,30,3,FALSE
300,Skitty,Grass,260,50,45,45,35,35,50,3,FALSE
301,Delcatty,Grass,380,70,65,65,55,55,70,3,FALSE
302,Sableye,Water,380,50,75,75,65,65,50,3,FALSE
303,Mawile,Electric,380,50,85,85,55,55,50,3,FALSE
304,Aron,Electric,330,50,70,100,40,40,30,3,FALSE
305,Lairon,Electric,430,60,90,140,50,50,40,3,FALSE
306,Aggron,Electric,530,70,110,180,60,60,50,3,FALSE
307,Meditite,Fire,280,30,40,55,40,55,60,3,FALSE
308,Medicham,Fire,410,60,60,75,60,75,80,3,FALSE
309,Electrike,Electric,295,40,45,40,65,40,65,3,FALSE
310,Manectric,Electric,475,70,75,60,105,60,105,3,FALSE
311,Plusle,Electric,405,60,50,40,85,75,95,3,FALSE
312,Minun,Electric,405,60,40,50,75,85,95,3,FALSE
313,Volbeat,Fire,400,65,73,55,47,75,85,3,FALSE
314,Illumise,Fire,400,65,47,55,73,75,85,3,FALSE
315,Roselia,Grass,400,50,60,45,100,80,65,3,FALSE
316,Gulpin,Electric,302,70,43,53,43,53,40,3,FALSE
317,Swalot,Electric,467,100,73,83,73,83,55,3,FALSE
318,Carvanha,Water,305,45,90,20,65,20,65,3,FALSE
319,Sharpedo,Water,460,70,120,40,95,40,95,3,FALSE
320,Wailmer,Water,400,130,70,35,70,35,60,3,FALSE
321,Wailord,Water,500,170,90,45,90,45,60,3,FALSE
322,Numel,Fire,305,60,60,40,65,45,35,3,FALSE
323,Camerupt,Fire,460,70,100,70,105,75,40,3,FALSE
324,Torkoal,Fire,470,70,85,140,85,70,20,3,FALSE
325,Spoink,Electric,330,60,25,35,70,80,60,3,FALSE
326,Grumpig,Electric,470,80,45,65,90,110,80,3,FALSE
327,Spinda,Grass,360,60,60,60,60,60,60,3,FALSE
328,Trapinch,Grass,290,45,100,45,45,45,10,3,FALSE
329,Vibrava,Grass,340,50,70,50,50,50,70,3,FALSE
330,Flygon,Grass,520,80,100,80,80,80,100,3,FALSE
331,Cacnea,Grass,335,50,85,40,85,40,35,3,FALSE
332,Cacturne,Grass,475,70,115,60,115,60,55,3,FALSE
333,Swablu,Grass,310,45,40,60,40,75,50,3,FALSE
334,Altaria,Fire,490,75,70,90,70,105,80,3,FALSE
335,Zangoose,Grass,458,73,115,60,60,60,90,3,FALSE
336,Seviper,Electric,458,73,100,60,100,60,65,3,FALSE
337,Lunatone,Water,440,70,55,65,95,85,70,3,FALSE
338,Solrock,Water,440,70,95,85,55,65,70,3,FALSE
339,Barboach,Water,288,50,48,43,46,41,60,3,FALSE
340,Whiscash,Water,468,110,78,73,76,71,60,3,FALSE
341,Corphish,Water,308,43,80,65,50,35,35,3,FALSE
342,Crawdaunt,Water,468,63,120,85,90,55,55,3,FALSE
343,Baltoy,Grass,300,40,40,55,40,70,55,3,FALSE
344,Claydol,Grass,500,60,70,105,70,120,75,3,FALSE
345,Lileep,Water,355,66,41,77,61,87,23,3,FALSE
346,Cradily,Water,495,86,81,97,81,107,43,3,FALSE
347,Anorith,Water,355,45,95,50,40,50,75,3,FALSE
348,Armaldo,Water,495,75,125,100,70,80,45,3,FALSE
349,Feebas,Water,200,20,15,20,10,55,80,3,FALSE
350,Milotic,Water,540,95,60,79,100,125,81,3,FALSE
351,Castform,Grass,420,70,70,70,70,70,70,3,FALSE
352,Kecleon,Grass,440,60,90,70,60,120,40,3,FALSE
353,Shuppet,Water,295,44,75,35,63,33,45,3,FALSE
354,Banette,Water,455,64,115,65,83,63,65,3,FALSE
355,Duskull,Water,295,20,40,90,30,90,25,3,FALSE
356,Dusclops,Water,455,40,70,130,60,130,25,3,FALSE
357,Tropius,Grass,460,99,68,83,72,87,51,3,FALSE
358,Chimecho,Electric,425,65,50,70,95,80,65,3,FALSE
359,Absol,Water,465,65,130,60,75,60,75,3,FALSE
360,Wynaut,Electric,260,95,23,48,23,48,23,3,FALSE
361,Snorunt,Water,300,50,50,50,50,50,50,3,FALSE
362,Glalie,Water,480,80,80,80,80,80,80,3,FALSE
363,Spheal,Water,290,70,40,50,55,50,25,3,FALSE
364,Sealeo,Water,410,90,60,70,75,70,45,3,FALSE
365,Walrein,Water,530,110,80,90,95,90,65,3,FALSE
366,Clamperl,Water,345,35,64,85,74,55,32,3,FALSE
367,Huntail,Water,485,55,104,105,94,75,52,3,FALSE
368,Gorebyss,Water,485,55,84,105,114,75,52,3,FALSE
369,Relicanth,Water,485,100,90,130,45,65,55,3,FALSE
370,Luvdisc,Water,330,43,30,55,40,65,97,3,FALSE
371,Bagon,Fire,300,45,75,60,40,30,50,3,FALSE
372,Shelgon,Fire,420,65,95,100,60,50,50,3,FALSE
373,Salamence,Fire,600,95,135,80,110,80,100,3,FALSE
374,Beldum,Electric,300,40,55,80,35,60,30,3,FALSE
375,Metang,Electric,420,60,75,100,55,80,50,3,FALSE
376,Metagross,Electric,600,80,135,130,95,90,70,3,FALSE
377,Regirock,Water,580,80,100,200,50,100,50,3,TRUE
378,Regice,Water,580,80,50,100,100,200,50,3,TRUE
379,Registeel,Electric,580,80,75,150,75,150,50,3,TRUE
380,Latias,Fire,600,80,80,90,110,130,110,3,TRUE
381,Latios,Fire,600,80,90,80,130,110,110,3,TRUE
382,Kyogre,Water,670,100,100,90,150,140,90,3,TRUE
383,Groudon,Grass,670,100,150,140,100,90,90,3,TRUE
384,Rayquaza,Fire,680,105,150,90,150,90,95,3,TRUE
385,Jirachi,Electric,600,100,100,100,100,100,100,3,TRUE
386,Deoxys,Electric,600,50,150,50,150,50,150,3,TRUE
387,Turtwig,Grass,318,55,68,64,45,55,31,4,FALSE
388,Grotle,Grass,405,75,89,85,55,65,36,4,FALSE
389,Torterra,Grass,525,95,109,105,75,85,56,4,FALSE
390,Chimchar,Fire,309,44,58,44,58,44,61,4,FALSE
391,Monferno,Fire,405,64,78,52,78,52,81,4,FALSE
392,Infernape,Fire,534,76,104,71,104,71,108,4,FALSE
393,Piplup,Water,314,53,51,53,61,56,40,4,FALSE
394,Prinplup,Water,405,64,66,68,81,76,50,4,FALSE
395,Empoleon,Water,530,84,86,88,111,101,60,4,FALSE
396,Starly,Grass,245,40,55,30,30,30,60,4,FALSE
397,Staravia,Grass,340,55,75,50,40,40,80,4,FALSE
398,Staraptor,Grass,485,85,120,70,50,60,100,4,FALSE
399,Bidoof,Grass,250,59,45,40,35,40,31,4,FALSE
400,Bibarel,Grass,410,79,85,60,55,60,71,4,FALSE
401,Kricketot,Fire,194,37,25,41,25,41,25,4,FALSE
402,Kricketune,Fire,384,77,85,51,55,51,65,4,FALSE
403,Shinx,Electric,263,45,65,34,40,34,45,4,FALSE
404,Luxio,Electric,363,60,85,49,60,49,60,4,FALSE
405,Luxray,Electric,523,80,120,79,95,79,70,4,FALSE
406,Budew,Grass,280,40,30,35,50,70,55,4,FALSE
407,Roserade,Grass,515,60,70,65,125,105,90,4,FALSE
408,Cranidos,Water,350,67,125,40,30,30,58,4,FALSE
409,Rampardos,Water,495,97,165,60,65,50,58,4,FALSE
410,Shieldon,Water,350,30,42,118,42,88,30,4,FALSE
411,Bastiodon,Water,495,60,52,168,47,138,30,4,FALSE
412,Burmy,Fire,224,40,29,45,29,45,36,4,FALSE
413,Wormadam,Fire,424,60,59,85,79,105,36,4,FALSE
414,Mothim,Fire,424,70,94,50,94,50,66,4,FALSE
415,Combee,Fire,244,30,30,42,30,42,70,4,FALSE
416,Vespiquen,Fire,474,70,80,102,80,102,40,4,FALSE
417,Pachirisu,Electric,405,60,45,70,45,90,95,4,FALSE
418,Buizel,Water,330,55,65,35,60,30,85,4,FALSE
419,Floatzel,Water,495,85,105,55,85,50,115,4,FALSE
420,Cherubi,Grass,275,45,35,45,62,53,35,4,FALSE
421,Cherrim,Grass,450,70,60,70,87,78,85,4,FALSE
422,Shellos,Water,325,76,48,48,57,62,34,4,FALSE
423,Gastrodon,Water,475,111,83,68,92,82,39,4,FALSE
424,Ambipom,Grass,482,75,100,66,60,66,115,4,FALSE
425,Drifloon,Water,348,90,50,34,60,44,70,4,FALSE
426,Drifblim,Water,498,150,80,44,90,54,80,4,FALSE
427,Buneary,Grass,350,55,66,44,44,56,85,4,FALSE
428,Lopunny,Grass,480,65,76,84,54,96,105,4,FALSE
429,Mismagius,Water,495,60,60,60,105,105,105,4,FALSE
430,Honchkrow,Water,505,100,125,52,105,52,71,4,FALSE
431,Glameow,Grass,310,49,55,42,42,37,85,4,FALSE
432,Purugly,Grass,452,71,82,64,64,59,112,4,FALSE
433,Chingling,Electric,285,45,30,50,65,50,45,4,FALSE
434,Stunky,Electric,329,63,63,47,41,41,74,4,FALSE
435,Skuntank,Electric,479,103,93,67,71,61,84,4,FALSE
